2024-02-19 00:00:00,BUDDY JOSIAH,HOMESTARS REVIEW,SCHED/PPRWK NOTES DO NOT INTERFERE,Unnamed: 4
DERICK,CONTACT: PASSION,IF HAPPY WITH SERVICE,EM,PA
HONDA,,PARKER ONLY,,
ASSESS TIMING,MAKE SURE TO SYNC UP WITH YOURSELF!,,,
,,,,
COMPANY:,W SERVICES (PRESTIGE),,,
TIME:,,,,
ADDRESS:,TESLA 1325 LAWRENCE AVENUE EAST,,,
"JOB/TASK, PRICE:",CAR CLEANING,,,
JOB NOTES:,MAKE SURE YOU HAVE THE SIGN OFF SHEET. PLEASE SUBMIT TO HDWCPICTURES AND HAND IN THE FORM TO PASSION,,,
CLIENT:,,,,
COMP STATUS:,MOVED TO TOMORROW,,,
HOURS:,,,,
CREW NOTES:,,,,
CONTRACTOR NOTES:,,,,
PICTURES SUBMITTED:,,,,
,,,,
COMPANY:,SDM,,,
TIME:,BEFORE CLOSING,,,
ADDRESS:,"SIMPLY SHOPPERS 235 Danforth Ave Unit 101, Toronto, ON M4K 1N2",,,
"JOB/TASK, PRICE:",GEN CLEANING,,,tp
JOB NOTES:,,,,
CLIENT:,,,,
COMP STATUS:,Complete ,,,
HOURS:,1hr,,,
CREW NOTES:,,,,
CONTRACTOR NOTES:,,,,
PICTURES SUBMITTED:,,,,
