2023-09-06 00:00:00,BUDDY ROHAN,HOMESTARS REVIEW
WILL,,IF HAPPY WITH SERVICE
CAMRY,,PARKER ONLY
BOEM 7AM,ASK AUDIE IF YOU NEED TO PACK ANYTHING ADDITIONAL,
,,
COMPANY:,OASIS,tp
TIME:,,
ADDRESS:,MERCEDES 10 COACHWORKS CRESCENT,
"JOB/TASK, PRICE:","EWC, +BLACK JUT OUT FOYERS",
JOB NOTES:,**EXTRA TASKS $75 - CONTACT AUDIE ON SITE FOR MORE INFO,
CLIENT:,,
COMP STATUS:,complete ,
HOURS:,4 hours,
CREW NOTES:,can't start earlier than 9 or cars won't be moved,
CONTRACTOR NOTES:,,
PICTURES SUBMITTED:,,
,,
COMPANY:,Food Basics,tp
TIME:,,
ADDRESS:,"2452 Sheppard Ave E, Toronto, ON M2J 4W6",
"JOB/TASK, PRICE:",KEEP INSIDES CLEAN & EXTERIOR WINDOW CLEANING,
JOB NOTES:,"SIGN IN AND OUT AS DAVIDS CLEANING, GET LOG SHEET SIGNED AND BRING HOME",
CLIENT:,(416) 756-2513,
COMP STATUS:,complete ,
HOURS:,30 minutes ,
CREW NOTES:,,
CONTRACTOR NOTES:,,
,,
COMPANY:,DAVIDS CLEANING,
TIME:,,
ADDRESS:,SHOPPERS DRUG MART 45 OVERLEA BLVD,
"JOB/TASK, PRICE:",OUT + IN OF PERIMETER DOORS,
JOB NOTES:,"SIGN IN AND OUT AS DAVIDS CLEANING, GET LOG SHEET SIGNED AND BRING HOME",
CLIENT:,,
COMP STATUS:,,
HOURS:,,
CREW NOTES:,,
CONTRACTOR NOTES:,,
